RANK,TITLE,AUTHOR,PUB YEAR,CATALOG RECORD
1,Divergent,"Roth, Veronica.",2011,http://chipublib.bibliocommons.com/search?suppress=true&custom_edit=false&custom_query=identifier%3A=9780062024022
2,The fault in our stars,"Green, John, 1977-",2012,http://chipublib.bibliocommons.com/search?suppress=true&custom_edit=false&custom_query=identifier%3A=9780525478812
3,The book thief,"Zusak, Markus.",2007,http://chipublib.bibliocommons.com/search?suppress=true&custom_edit=false&custom_query=identifier%3A=9780375842207
4,Mockingjay,"Collins, Suzanne.",2010,http://chipublib.bibliocommons.com/search?suppress=true&custom_edit=false&custom_query=identifier%3A=9780439023511
5,Allegiant,"Roth, Veronica.",2013,http://chipublib.bibliocommons.com/search?suppress=true&custom_edit=false&custom_query=identifier%3A=9780062024060
6,Insurgent,"Roth, Veronica.",2012,http://chipublib.bibliocommons.com/search?suppress=true&custom_edit=false&custom_query=identifier%3A=9780062024046
7,Catching fire,"Collins, Suzanne.",2009,http://chipublib.bibliocommons.com/search?suppress=true&custom_edit=false&custom_query=identifier%3A=9780439023498
8,The Hunger Games,"Collins, Suzanne.",2008,http://chipublib.bibliocommons.com/search?suppress=true&custom_edit=false&custom_query=identifier%3A=9780545310581
9,Eleanor & Park,"Rowell, Rainbow.",2013,http://chipublib.bibliocommons.com/search?suppress=true&custom_edit=false&custom_query=identifier%3A=9781250012579
10,Fangirl,"Rowell, Rainbow.",2013,http://chipublib.bibliocommons.com/search?suppress=true&custom_edit=false&custom_query=identifier%3A=9781250030955
